"Modules Information","Πληροφορίες για το άρθρωμα"
"Open Extension Page","Σελίδα επέκτασης"
"Please <a href='http://templates-master.com/contacts' onclick='window.open(this.href); return false;'>contact us</a>, if you have some issues with one of our modules.","Θα θέλαμενα <a href='http://templates-master.com/contacts' onclick='window.open(this.href); return false;'>επικοινωνείστε μαζί μας</a>, αν έχετε κάποιες υποδείξεις για κάποιο από τα αρθρώματά μας."
"Troubleshooting","Προβλήματα"
"Changelog","Αλλαγές"
"Download Latest Version","Κατεβάστε την τελευταία έκδοση"
"Download","Λήψη"
"Manage","Διαχείριση"
"Upgrades are not installed","Οι ενημερώσεις δεν εγκαταστάθηκαν"
"New version is available","Διαθέσιμη νέα έκδοση "
"Upgrade Information","Πληροφορίες αναβάθμισης"
"Activate this checkbox, if you want to skip the upgrade operations","Ενεργοποιήστε το πλαίσιο ελέγχου, αν θέλετε να παρακάμψετε τις λειτουργίες αναβάθμισης"
"Module data will be upgraded from %s to %s at the following stores","Τα δεδομένα του αρθρώματος θα αναβαθμιστούν από %s σε %s στα παρακάτω καταστήματα"
"Install and Reinstall Information","Πληροφορίες εγκατάστασης και επανεγκατάστασης"
"Identity Key","Κλειδί ενεργοποίησης"
"Get your identity key at <a href=""%s"" title=""%s"" target=""_blank"">%s</a>","Πάρτε κλειδί ενεργοποίησης στο <a href=""%s"" title=""%s"" target=""_blank"">%s</a>"
"Select stores to install or reinstall module","Επιλέξτε καταστήματα για εγκτάσταση ή επανεγκατάσταση του αρθρώματος"
"Module is already installed at following stores","Το άρθρωμα έχει εγκατασταθεί στα παρακάτω καταστήματα"
"Manage Module","Διαχείριση αρθρώματος"
"Code","Κώδικας"
"Local Version","Τοπική έκδοση"
"Latest Version","Τελευταία έκδοση"
"Version Status","Κατάσταση έκδοσης"
"Run","Εκτέλεση"
"Upgrade and Install/Reinstall %s %s (Data version %s)","Ενημέρωση και εγκατάσταση/επανεγκατάσταση %s %s (Data version %s)"
"Install or Reinstall %s %s (Data version %s)","Εγκατάσταση ή επανεγκατάσταση %s %s (Data version %s)"
"Install %s %s","Εγκατάσταση %s %s"
"Modules","Αρθρώματα"
"The module has been saved","Το άρθρωμα αποθηκεύτηκε"
"updated","Ενημερωμένο"
"outdated","Παρωχημένο"
"deprecated","deprecated"
"Identity key is required","Απαιτείται κλειδί ενεργοποίησης"
"Response error: %s","Σφάλμα απόκρισης: %s"
"Sorry, try again in five minutes. Validation response parsing error: %s","Λυπούμαστε, δοκιμάστε ξανά σε πέντε λεπτά. Σφάλμα απόκρισης στην ανάλυση της επικύρωσης: %s"
"Module code is required","Απαιτείται ο κώδικας του αρθρώματος"
"Domain name is required","Απαιτείται όνομα ιστότοπου"
"Identity key is not valid","Το κλειδί ενεργοποίησης δεν είναι έγκυρο"
"%s module is not found in purchase history","%s άρθρωμα δεν βρέθηκε στο ιστορικό αγορών"
"%s activations limit reached. Please <a href=""%s"" title=""%s"" target=""_blank"">buy the product</a> to activate more domains","%s έχει ξεπεραστεί το όριο ενεργοποιήσεων. Παρακαλούμε <a href=""%s"" title=""%s"" target=""_blank"">αγοράστε το προϊόν</a> για να το ενεργοποιήσετε σε περισότερους ιστότοπους"
"Module ""%s"" is not activated for ""%s"" domain. Please, <a href=""%s"" title=""%s"" target=""_blank"">activate</a> it from our site. %s activations left","Το άρθρωμα ""%s"" δέν έχει ενεργοποιηθεί για ""%s"" ιστότοπο. Παρακαλούμε, <a href=""%s"" title=""%s"" target=""_blank"">ενεργοποιήστε</a> το από την ιστοσελίδα μας. %s ενεργοποιήσεις απομένουν"
"You are trying to use %s activation(s) for %s module. Only %s activations left. Please <a href=""%s"" title=""%s"">buy the product</a> to activate more domains","Προσπαθείτε να χρησιμοποιήσετε %s ενεργοποίηση για %s άρθρωμα. Μόνο %s ενεργοποίηση/εις απομένουν. ΠΑρακαλούμε <a href=""%s"" title=""%s"">αγοράστε το προϊόν</a> γα να το ενεργοποιήσετε σε περισσότερους ιστότοπους"
"Installed products","Εγκατεστημένα προιόντα"
"Product promotions and discounts","Προωθήσεις προϊόντων και εκπτώσεις"
"New Products","Νέα προϊόντα"
"Product updates","Ενημερώσεις προϊόντων"
"Other","Άλλα"
"News to show in notification bar","Νέα που εμφανίζονται στη μπάρα ανακοινώσεων"
